name,price,link,gmaps_rating,drive_minutes_from_haneda,gmaps_place_id
Henn na Hotel Tokyo Haneda,"TWD 3,477",https://www.booking.com/hotel/jp/bian-nahoterudong-jing-yu-tian.zh-tw.html,4.1,14,ChIJqeR8iRphGGARqxTxLoq2kJQ
東京羽田機場西翼日航城市酒店,"TWD 4,496",https://www.booking.com/hotel/jp/jal-city-haneda-tokyo-west-wing.zh-tw.html,4.3,13,ChIJl6WzfRZhGGARjSqXrOl8V9w
東京羽田日航城市酒店,"TWD 4,784",https://www.booking.com/hotel/jp/jal-city-haneda-tokyo.zh-tw.html,4.1,11,ChIJc2TY2hVhGGARnmFTLWETzsc
Villa Fontaine Premier Haneda Airport,"TWD 11,650",https://www.booking.com/hotel/jp/villa-fontaine-premier-haneda-airport.zh-tw.html,4.2,6,ChIJ4SddvlFhGGARodE0X1taoqQ
美居东京羽田机场酒店(Mercure Tokyo Haneda Airport),"TWD 4,883",https://www.booking.com/hotel/jp/mercure-tokyo-haneda-airport.zh-tw.html,4.8,12,ChIJbUI-eMdhGGARKE2AKlQokBo
维拉芳泉羽田机场大酒店,"TWD 5,797",https://www.booking.com/hotel/jp/villa-fontaine-grand-haneda-airport.zh-tw.html,4.1,8,ChIJQbZRKBNhGGARgwcvrSUzqgk
The Royal Park Hotel Tokyo Haneda Airport Terminal 3,"TWD 6,914",https://www.booking.com/hotel/jp/royal-park-the-haneda.zh-tw.html,4.3,6,ChIJuU8-BVRhGGARhf99WtuKY08
Hotel Metropolitan Tokyo Haneda,"TWD 5,742",https://www.booking.com/hotel/jp/metropolitan-tokyo-haneda.zh-tw.html,4.5,9,ChIJHffnGq5hGGAR_EofIvp-T6E
Haneda Excel Hotel Tokyu Haneda Airport Terminal 2,"TWD 8,759",https://www.booking.com/hotel/jp/haneda-excel-tokyu.zh-tw.html,4.2,5,ChIJNX5YTPFjGGARBmFoIObRVc8
Hotel Oriental Express Tokyo Kamata,"TWD 3,670",https://www.booking.com/hotel/jp/oriental-express-tokyo-kamata-dong-jing.zh-tw.html,4.2,20,ChIJX2FbLlZgGGARXSswqYiVIP4
